#lambda flux_corrected
3809.780493551755 8.994869E-16
3810.659020519133 1.0736927E-15
3811.5356576190284 4.844279E-16
3812.412496388137 4.914066299999999E-16
3813.291630289555 1.0764096E-15
3814.168873017869 9.105393E-16
3815.048411935859 5.406982E-16
3815.9260588094817 3.82818E-16
3816.8060029306343 3.27893E-16
3817.6840541357556 4.5546346E-16
3818.562307335403 1.0758428E-15
3819.442859369643 1.4453405999999998E-15
3820.321517180123 1.0510223999999999E-16
3821.202474884268 1.0134603999999998E-15
3822.081537491985 9.214287000000001E-16
3822.962901052926 8.439280999999999E-16
3823.8423686443693 9.236637999999998E-16
3824.7241382490856 1.0814650999999999E-15
3825.6040110108315 9.586047E-16
3826.48408618615 6.344332999999999E-16
3827.366464965097 1.0471496E-15
3828.246945590631 7.3945956E-16
3829.129730881063 7.827605199999999E-16
3830.010617143604 3.3933968999999997E-16
3830.893809132801 6.054081E-16
3831.7751012192257 9.744964E-16
3832.6565960457365 5.2649746E-16
3833.5403981918244 4.1837929999999994E-16
3834.422299122584 9.814001E-16
3835.3065084359014 9.1293545E-16
3836.1888156580017 8.369227E-16
3837.0734323261304 1.0888213E-15
3837.9561460267496 1.08297415E-15
3838.839062794496 8.935872E-16
3839.724290603761 5.349872000000001E-16
3840.6076141308436 7.034735999999999E-16
3841.4932497641403 6.1893544E-16
3842.376980237953 4.2537646E-16
3843.2630238831666 7.806293499999999E-16
3844.1471614911898 9.834459E-16
3845.0315024939073 7.3125596E-16
3845.9181582660904 1.4494827999999998E-16
3846.8029066842887 1.1057588E-15
3847.6899709383656 1.1366301E-15
3848.575126959741 8.774293E-16
3849.4625998838987 7.160802000000001E-16
3850.3481636962338 8.423272E-16
3851.2339312313597 1.0763531999999998E-15
3852.1220172699104 9.819865E-16
3853.0081928777204 6.762929999999999E-16
3853.896688057088 3.8334966E-16
3854.78327192558 4.2854533000000003E-16
3855.6721764342556 9.435382E-16
3856.5591687515152 7.938488E-16
3857.4463651201922 9.057296E-16
3858.3358837322767 8.913890999999998E-16
3859.2234888319 6.838688999999999E-16
3860.1134172447873 6.866514E-16
3861.001431263659 6.8238626E-16
3861.8917696661447 4.587206E-16
3862.780192792654 4.8649635E-16
3863.668820299736 3.2760155E-16
3864.5597737962416 8.7753E-16
3865.448810693595 7.8552904E-16
3866.3401746519544 7.043504E-16
3867.229621128185 8.705503999999999E-16
3868.121395737497 9.099893E-16
3869.0112519812974 7.2474546E-16
3869.9013129353575 4.494771E-16
3870.7937036309 3.8400931E-16
3871.6841746356195 1.0679370999999999E-15
3872.576976455132 7.566704E-16
3873.467857699421 6.846101E-16
3874.3610708323085 4.753843E-16
3875.252362505165 8.914603E-16
3876.143859218499 1.0648859E-15
3877.0376894314263 6.337204E-16
3877.929596856874 4.960182699999999E-16
3878.8238388569566 8.288503E-16
3879.7161571837323 1.3478621E-15
3880.6108111606804 9.583916999999999E-16
3881.5035405780864 1.1166149000000001E-15
3882.396475366721 6.715893000000001E-16
3883.2917474191227 1.0632058000000001E-15
3884.1850935823913 1.3710065E-15
3885.080778086203 1.1998489E-15
3885.9745358136256 1.0578696E-15
3886.8706329588636 8.743411E-16
3887.7648024400473 6.664382E-16
3888.6591776237456 8.609712999999999E-16
3889.5558938414556 6.7649093E-16
3890.4506810633766 1.0232996E-15
3891.3478103978227 6.2575455E-16
3892.243009847793 7.2767625E-16
