# Wavelength Flux
3.551812651860630012e+03 6.841682640036818399e-16
3.557837245463818817e+03 6.335048650027416378e-16
3.563861755219241786e+03 5.240800942779019816e-16
3.569886180696456904e+03 5.334323055133321549e-16
3.575910521465019883e+03 6.218780522021198265e-16
3.581934777094489164e+03 5.146990297460975631e-16
3.587958947154420912e+03 5.220265711536753015e-16
3.593983031214372659e+03 4.971506739466199119e-16
3.600007028843901026e+03 5.519908768714084761e-16
3.606030939612563088e+03 4.513979092266023267e-16
3.612054763089916378e+03 5.372100020359919230e-16
3.618078498845517515e+03 5.788772319695814216e-16
3.624102146448924032e+03 3.991202080148100126e-16
3.630125705469692548e+03 5.322191621093896569e-16
3.636149175477380595e+03 5.673211218613350673e-16
3.642172556041544340e+03 5.003854189263843368e-16
3.648195846731741767e+03 5.675477739520371672e-16
3.654219047117529954e+03 6.286905578417472293e-16
3.660242156768465065e+03 5.392877230926643436e-16
3.666265175254105088e+03 5.326563683910561837e-16
3.672288102144006643e+03 5.553600335678095265e-16
3.678310937007727262e+03 6.011912436625145228e-16
3.684333679414823109e+03 5.086309629924425427e-16
3.690356328934852172e+03 5.345949058171681728e-16
3.696378885137371071e+03 5.585882140548900038e-16
3.702401347591936428e+03 4.456098611477769214e-16
3.708423715868106228e+03 4.706093346846672405e-16
3.714445989535437093e+03 4.610451650035704341e-16
3.720468168163486098e+03 4.894753528828224301e-16
3.726490251321810319e+03 5.691235065425286808e-16
3.732512238579966834e+03 4.822376874533301457e-16
3.738534129507512716e+03 4.508286671690066988e-16
3.744555923674005044e+03 4.836842753429723871e-16
3.750577620649000892e+03 5.578808585305518615e-16
3.756599220002057336e+03 5.162354870069863958e-16
3.762620721302730999e+03 4.944778698920740555e-16
3.768642124120579865e+03 4.965766324302580793e-16
3.774663428025160101e+03 5.299277933223466876e-16
3.780684632586029238e+03 4.214705625082011662e-16
3.786705737372744352e+03 4.317507468341719402e-16
3.792726741954862518e+03 5.014551853181464657e-16
3.798747645901940359e+03 4.445275287245939442e-16
3.804768448783535405e+03 4.729955615253316893e-16
3.810789150169204731e+03 4.542764469225753204e-16
3.816809749628505415e+03 5.224450437620697141e-16
3.822830246730994077e+03 5.276948040624101434e-16
3.828850641046228247e+03 4.769166143796916371e-16
3.834870932143764549e+03 5.139815116587353070e-16
3.840891119593160511e+03 5.221524253815775139e-16
3.846911202963973210e+03 5.144263017116880772e-16
3.852931181825759268e+03 5.017114233100047064e-16
3.858951055748076215e+03 5.190199668289062724e-16
3.864970824300480672e+03 4.589395801953158420e-16
3.870990487052529716e+03 4.765421152982341532e-16
3.877010043573780877e+03 4.674060204697381350e-16
3.883029493433791231e+03 5.234537309640604779e-16
3.889048836202116945e+03 5.091830969353545224e-16
3.895068071448316459e+03 5.988337188560529130e-16
3.901087198741945940e+03 6.424676325972955377e-16
3.907106217652562009e+03 5.907514082664109374e-16
3.913125127749723106e+03 5.577514311086493192e-16
3.919143928602984943e+03 6.207573477081961087e-16
3.925162619781905505e+03 6.545569416900907955e-16
3.931181200856041414e+03 6.313192068988722289e-16
3.937199671394949746e+03 6.268740828687242591e-16
3.943218030968188032e+03 5.666279056123291996e-16
3.949236279145312892e+03 5.760523594734821170e-16
3.955254415495881403e+03 5.256231329574575573e-16
3.961272439589450642e+03 5.443758031624492477e-16
3.967290350995577683e+03 5.290052323760415152e-16
3.973308149283819603e+03 5.448959289253047948e-16
3.979325834023733478e+03 5.178277014616571937e-16
3.985343404784876384e+03 4.704930614555095270e-16
3.991360861136805852e+03 4.831869973970585986e-16
3.997378202649078048e+03 4.536399965983704540e-16
4.003395428891250504e+03 4.596734561748567604e-16
4.009412539432880749e+03 4.111349722144452492e-16
4.015429533843524950e+03 4.785051186324092878e-16
4.021446411692740639e+03 4.443183080719793754e-16
4.027463172550084892e+03 4.703232927420190914e-16
4.033479815985114783e+03 4.339541853621181349e-16
4.039496341567386935e+03 4.181197267851933904e-16
4.045512748866459333e+03 4.376251284632581457e-16
4.051529037451888144e+03 4.012491588915064270e-16
4.057545206893230898e+03 4.300191508230858717e-16
4.063561256760044671e+03 4.198613580994979855e-16
4.069577186621886540e+03 4.693389011030533086e-16
4.075592996048313125e+03 4.487792645655834715e-16
4.081608684608881958e+03 4.270911664673324031e-16
4.087624251873149660e+03 4.797929784221629254e-16
4.093639697410673762e+03 4.487355025366977027e-16
4.099655020791011339e+03 4.487965695151422660e-16
4.105670221583719467e+03 4.357936270188653177e-16
4.111685299358354314e+03 4.317620454365006172e-16
4.117700253684474774e+03 4.298583753325119657e-16
4.123715084131636104e+03 3.919495323164334224e-16
4.129729790269396290e+03 4.096594522872360636e-16
4.135744371667311498e+03 4.429680783663117409e-16
4.141758827894940623e+03 4.160910901225669199e-16
4.147773158521838923e+03 4.255043512136684364e-16
4.153787363117563473e+03 4.225354266273117214e-16
4.159801441251673168e+03 4.249574283148630687e-16
4.165815392493723266e+03 4.502021992157604363e-16
4.171829216413270842e+03 4.357683382616215209e-16
4.177842912579874792e+03 4.135688126843268168e-16
4.183856480563090372e+03 4.312912230345596904e-16
4.189869919932474659e+03 4.286521041285279432e-16
4.195883230257586547e+03 4.025932176279106036e-16
4.201896411107981294e+03 4.588378332877524303e-16
4.207909462053215975e+03 4.399258159235204928e-16
4.213922382662849486e+03 4.367006927953097346e-16
4.219935172506436174e+03 4.338260819880949514e-16
4.225947831153534935e+03 4.445680087621921486e-16
4.231960358173702843e+03 4.542285430703757735e-16
4.237972753136496976e+03 4.468327053587848963e-16
4.243985015611473500e+03 4.241362101869079375e-16
4.249997145168189491e+03 4.510221402535319960e-16
4.256009141376202933e+03 4.382893562739845625e-16
4.262021003805070904e+03 4.816072952517172754e-16
4.268032732024349571e+03 4.572376697740433525e-16
4.274044325603596008e+03 5.065943253891228232e-16
4.280055784112368201e+03 5.262928563989242157e-16
4.286067107120223227e+03 5.620215968406558734e-16
4.292078294196717252e+03 5.880572425653004641e-16
4.298089344911406442e+03 5.884628670738761509e-16
4.304100258833850603e+03 6.784770939838119265e-16
4.310111035533605900e+03 7.219470770645969605e-16
4.316121674580227591e+03 8.431168360654676447e-16
4.322132175543274570e+03 9.448237184154663345e-16
4.328142537992303005e+03 1.086264787896574527e-15
4.334152761496870880e+03 1.264699011929104914e-15
4.340162845626534363e+03 1.279756582193118057e-15
4.346172789950850529e+03 1.280055334170525764e-15
4.352182594039377364e+03 1.092525433052061092e-15
4.358192257461671034e+03 9.461628842978844574e-16
4.364201779787288615e+03 8.659790728372805286e-16
4.370211160585788093e+03 7.858215406701097645e-16
4.376220399426725635e+03 7.199268156169100608e-16
4.382229495879658316e+03 6.986205750113817792e-16
4.388238449514143213e+03 6.846584200730995541e-16
4.394247259899738310e+03 6.380450145792011759e-16
4.400255926605999775e+03 6.128019234119080871e-16
4.406264449202484684e+03 5.802959175723055391e-16
4.412272827258751022e+03 5.663540917126531906e-16
4.418281060344354046e+03 5.409734957093939709e-16
4.424289148028852651e+03 5.244878150936462381e-16
4.430297089881803004e+03 4.816205504276759345e-16
4.436304885472762180e+03 4.765303588424555918e-16
4.442312534371288166e+03 4.941194570940020160e-16
4.448320036146936218e+03 4.524486804621012355e-16
4.454327390369265231e+03 4.395236583505429974e-16
4.460334596607831372e+03 4.408640310204418146e-16
4.466341654432191717e+03 4.293089094019278337e-16
4.472348563411903342e+03 4.278268567760780909e-16
4.478355323116523323e+03 4.507558725681942698e-16
4.484361933115608736e+03 4.346035393847417473e-16
4.490368392978716656e+03 4.134651960915043039e-16
4.496374702275405070e+03 4.406215696106894146e-16
4.502380860575229235e+03 4.329056344329010247e-16
4.508386867447747136e+03 4.077411765930632623e-16
4.514392722462516758e+03 4.255812823472434665e-16
4.520398425189094269e+03 4.221964108435445882e-16
4.526403975197035834e+03 4.114396774955865154e-16
4.532409372055899439e+03 4.193240716343597405e-16
4.538414615335243070e+03 4.017339129978631411e-16
4.544419704604622893e+03 4.158352577188926649e-16
4.550424639433595075e+03 4.155580104873652736e-16
4.556429419391717602e+03 4.127585400458167873e-16
4.562434044048548458e+03 4.341545838395550175e-16
4.568438512973642901e+03 4.057706383995820872e-16
4.574442825736558916e+03 4.519844790988627725e-16
4.580446981906853580e+03 4.497722888039896323e-16
4.586450981054083968e+03 4.714757706311381204e-16
